"WHO region","Year","Treatment success rate: new TB cases","Treatment success rate: previously treated TB cases","Treatment success rate: HIV-positive TB cases","Treatment success rate for patients treated for MDR-TB (%)","Treatment success rate: XDR-TB cases"
"Global"," 2020","86","74","77","",""
"Global"," 2019","86","74","77","60","60"
"Global"," 2018","85","71","76","59","52"
"Global"," 2017","85","61","75","58","43"
"Global"," 2016","81","68","77","56","39"
"Global"," 2015","83","69","78","55","34"
"Global"," 2014","83","69","75","54","30"
"Global"," 2013","86","67","69","52","28"
"Global"," 2012","86","65","68","50","26"
"Global"," 2011","87","72","73","48","22"
"Global"," 2010","84","69","73","50","19"
"Global"," 2009","85","72","72","48","20"
"Global"," 2008","85","72","71","53","23"
"Global"," 2007","85","68","78","48",""
"Global"," 2006","84","70","62","57",""
"Global"," 2005","84","71","51","66",""
"Global"," 2004","81","72","57","46",""
"Global"," 2003","80","72","65","50",""
"Global"," 2002","76","71","96","49",""
"Global"," 2001","73","64","81","78",""
"Global"," 2000","69","70","79","68",""
"Global"," 1999","64","69","83","50",""
"Global"," 1998","64","82","","",""
"Global"," 1997","60","64","","",""
"Global"," 1996","54","82","","",""
"Global"," 1995","57","86","","",""
"Africa"," 2020","86","67","81","",""
"Africa"," 2019","86","72","81","71","61"
"Africa"," 2018","82","65","79","69","58"
"Africa"," 2017","82","71","78","64","59"
"Africa"," 2016","82","63","80","60","56"
"Africa"," 2015","83","75","80","61","47"
"Africa"," 2014","81","72","77","59","27"
"Africa"," 2013","79","70","70","54","24"
"Africa"," 2012","81","48","68","53","20"
"Africa"," 2011","79","68","74","47","16"
"Africa"," 2010","73","54","79","46","17"
"Africa"," 2009","76","70","77","45","19"
"Africa"," 2008","77","69","76","50","27"
"Africa"," 2007","77","67","81","44",""
"Africa"," 2006","72","66","72","65",""
"Africa"," 2005","74","62","38","",""
"Africa"," 2004","70","59","84","45",""
"Africa"," 2003","73","59","","43",""
"Africa"," 2002","73","59","","48",""
"Africa"," 2001","70","62","","",""
"Africa"," 2000","71","58","","",""
"Africa"," 1999","68","56","","",""
"Africa"," 1998","70","56","","",""
"Africa"," 1997","64","56","","",""
"Africa"," 1996","56","56","","",""
"Africa"," 1995","60","69","","",""
"Americas"," 2020","72","42","55","",""
"Americas"," 2019","74","45","57","59","69"
"Americas"," 2018","76","44","56","59","65"
"Americas"," 2017","76","48","56","60","61"
"Americas"," 2016","75","49","56","59","62"
"Americas"," 2015","76","48","55","56","50"
"Americas"," 2014","76","48","56","54","48"
"Americas"," 2013","75","48","53","55","53"
"Americas"," 2012","75","46","54","57","29"
"Americas"," 2011","75","51","56","56","31"
"Americas"," 2010","73","49","52","59","25"
"Americas"," 2009","73","50","50","47","13"
"Americas"," 2008","73","52","53","47","12"
"Americas"," 2007","78","58","56","38",""
"Americas"," 2006","73","54","52","58",""
"Americas"," 2005","75","55","47","",""
"Americas"," 2004","76","55","46","60",""
"Americas"," 2003","80","66","","59",""
"Americas"," 2002","81","70","","53",""
"Americas"," 2001","69","34","","",""
"Americas"," 2000","76","55","","",""
"Americas"," 1999","79","45","","",""
"Americas"," 1998","67","80","","",""
"Americas"," 1997","58","57","","",""
"Americas"," 1996","51","74","","",""
"Americas"," 1995","50","72","","",""
"South-East Asia"," 2020","86","79","72","",""
"South-East Asia"," 2019","85","77","72","58","54"
"South-East Asia"," 2018","84","74","74","57","48"
"South-East Asia"," 2017","83","57","71","52","37"
"South-East Asia"," 2016","75","71","73","52","31"
"South-East Asia"," 2015","78","69","75","50","28"
"South-East Asia"," 2014","79","68","74","50","29"
"South-East Asia"," 2013","88","67","74","49","33"
"South-East Asia"," 2012","88","75","76","48","35"
"South-East Asia"," 2011","89","75","72","54","39"
"South-East Asia"," 2010","89","75","72","55",""
"South-East Asia"," 2009","89","75","71","54",""
"South-East Asia"," 2008","88","74","68","60",""
"South-East Asia"," 2007","88","66","65","71",""
"South-East Asia"," 2006","87","72","59","57",""
"South-East Asia"," 2005","87","72","62","",""
"South-East Asia"," 2004","83","73","100","",""
"South-East Asia"," 2003","79","71","","",""
"South-East Asia"," 2002","68","72","","",""
"South-East Asia"," 2001","63","59","","",""
"South-East Asia"," 2000","50","71","","",""
"South-East Asia"," 1999","34","70","","",""
"South-East Asia"," 1998","40","72","","",""
"South-East Asia"," 1997","29","66","","",""
"South-East Asia"," 1996","31","68","","",""
"South-East Asia"," 1995","33","68","","",""
"Europe"," 2020","72","60","47","",""
"Europe"," 2019","75","60","55","57","63"
"Europe"," 2018","75","57","52","56","51"
"Europe"," 2017","76","59","52","59","43"
"Europe"," 2016","77","59","63","57","39"
"Europe"," 2015","77","61","62","57","35"
"Europe"," 2014","76","63","41","55","29"
"Europe"," 2013","76","58","47","51","27"
"Europe"," 2012","76","57","57","49","26"
"Europe"," 2011","73","47","53","46","20"
"Europe"," 2010","74","50","49","49","18"
"Europe"," 2009","75","49","51","48","25"
"Europe"," 2008","76","49","46","55","25"
"Europe"," 2007","76","51","53","53",""
"Europe"," 2006","75","48","55","58",""
"Europe"," 2005","77","51","64","66",""
"Europe"," 2004","76","55","61","41",""
"Europe"," 2003","74","52","65","43",""
"Europe"," 2002","74","53","96","45",""
"Europe"," 2001","74","54","81","78",""
"Europe"," 2000","75","58","79","68",""
"Europe"," 1999","75","57","83","50",""
"Europe"," 1998","63","76","","",""
"Europe"," 1997","72","72","","",""
"Europe"," 1996","58","68","","",""
"Europe"," 1995","67","40","","",""
"Eastern Mediterranean"," 2020","92","80","74","",""
"Eastern Mediterranean"," 2019","91","81","71","72","65"
"Eastern Mediterranean"," 2018","91","77","55","68","49"
"Eastern Mediterranean"," 2017","91","75","75","64","44"
"Eastern Mediterranean"," 2016","92","77","59","65","37"
"Eastern Mediterranean"," 2015","91","80","59","62","29"
"Eastern Mediterranean"," 2014","91","79","53","65","42"
"Eastern Mediterranean"," 2013","91","76","60","68","30"
"Eastern Mediterranean"," 2012","87","76","53","65","33"
"Eastern Mediterranean"," 2011","89","75","53","65","38"
"Eastern Mediterranean"," 2010","88","76","45","56","45"
"Eastern Mediterranean"," 2009","87","77","40","44","50"
"Eastern Mediterranean"," 2008","87","75","55","56","0"
"Eastern Mediterranean"," 2007","87","77","57","57",""
"Eastern Mediterranean"," 2006","86","76","76","38",""
"Eastern Mediterranean"," 2005","82","75","44","",""
"Eastern Mediterranean"," 2004","82","74","57","29",""
"Eastern Mediterranean"," 2003","82","71","","56",""
"Eastern Mediterranean"," 2002","84","71","","57",""
"Eastern Mediterranean"," 2001","82","71","","",""
"Eastern Mediterranean"," 2000","81","62","","",""
"Eastern Mediterranean"," 1999","79","70","","",""
"Eastern Mediterranean"," 1998","57","82","","",""
"Eastern Mediterranean"," 1997","73","62","","",""
"Eastern Mediterranean"," 1996","66","71","","",""
"Eastern Mediterranean"," 1995","79","75","","",""
"Western Pacific"," 2020","88","78","80","",""
"Western Pacific"," 2019","91","78","73","62","68"
"Western Pacific"," 2018","89","80","75","62","66"
"Western Pacific"," 2017","91","79","79","60","60"
"Western Pacific"," 2016","91","74","55","59","58"
"Western Pacific"," 2015","92","79","78","53","61"
"Western Pacific"," 2014","92","80","72","52","41"
"Western Pacific"," 2013","92","81","73","57","37"
"Western Pacific"," 2012","92","82","57","51","29"
"Western Pacific"," 2011","93","85","74","52","39"
"Western Pacific"," 2010","92","86","65","46","60"
"Western Pacific"," 2009","91","86","72","57","0"
"Western Pacific"," 2008","91","86","74","58","50"
"Western Pacific"," 2007","91","86","68","64",""
"Western Pacific"," 2006","90","87","61","61",""
"Western Pacific"," 2005","90","87","71","",""
"Western Pacific"," 2004","88","86","73","57",""
"Western Pacific"," 2003","91","87","","58",""
"Western Pacific"," 2002","90","87","","79",""
"Western Pacific"," 2001","91","90","","",""
"Western Pacific"," 2000","90","86","","",""
"Western Pacific"," 1999","91","93","","",""
"Western Pacific"," 1998","92","94","","",""
"Western Pacific"," 1997","91","78","","",""
"Western Pacific"," 1996","72","92","","",""
"Western Pacific"," 1995","80","90","","",""
